Aerodromo_de_Destino,Aerodromo_de_Origem,CLS,Categoria_da_Aeronave,Classificacao_da_Ocorrência,Danos_a_Aeronave,Data_da_Ocorrencia,Descricao_do_Tipo,Fase_da_Operacao,Historico,Hora_da_Ocorrência,ICAO,Ilesos_Passageiros,Ilesos_Tripulantes,Latitude,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Fatais_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Lesoes_Leves_Tripulantes,Longitude,Matricula,Modelo,Municipio,Nome_do_Fabricante,Numero_da_Ficha,Numero_da_Ocorrencia,Numero_de_Assentos,Operacao,Operador,Operador_Padronizado,PMD,PSSO,Regiao,Tipo_ICAO,Tipo_de_Aerodromo,Tipo_de_Ocorrencia,UF
SDAM,SBGR,L2J,TPP,Incidente,Leve,2017-08-12,OUTROS,Estacionamento,"APOS O POUSO EM SDAM, PROCEDENTE DE SBGR, FOI EFETUADA INSPEÇÃO DE ENTREGA DA AERONAVE PARA REVISÃO, QUANDO FOI CONSTATADO INDÍCIO DE LIGHTNING STRIKE. NÃO FOI POSSÍVEL IDENTIFICAR A DATA EXATA DESTE OCORRIDO.",23:00:00,null,0,2,"-22,8592",0,0,0,0,0,0,0,0,0,0,0,0,"-47,1081",PRPPG,45 (LEARJET 40),CAMPINAS,LEARJET,201709041153384,7495,9,Voo Privado,PROPEG COMUNICACAO S.A,PROPEG COMUNICACAO S.A,9525,verdadeiro,Sudeste,LJ40,null,OTHR,SP
null,null,L1P,TPP,Acidente,Substancial,2017-12-03,COLISÃO COM FAUNA,Decolagem,"DURANTE A DECOLAGEM DA PISTA DA FAZENDA MUNDIAL, TUCUMÃ, PA, VISANDO APLICAÇÃO DE FUNGICIDA EM UMA FAZENDA VIZINHA, O PILOTO DA AERONAVE AVISTOU UMA VACA NA PISTA E, APÓS TENTAR A FRENAGEM, DESVIOU DO ANIMAL PELA DIREITA. DEPOIS DO DESVIO, HOUVE UMA DERRAPAGEM PARA A ESQUERDA. A AERONAVE SAIU DA PISTA E ATINGIU A CERCA QUE MARGEIA O LADO ESQUERDO DESSA. O PILOTO SAIU ILESO.",11:20:00,null,0,1,"-6,54028",0,0,0,0,0,0,0,0,0,0,0,0,"-51,4375",PTFFG,A188B,TUCUMÃ,CESSNA AIRCRAFT,PT-FFG 03DEZ2017 11H20 SERIPA1,7644,1,Operação Agrícola,DIEGO MENDES GRESPON DE SOUSA,DIEGO MENDES GRESPON DE SOUSA,1905,verdadeiro,Norte,C188,null,WILD,PA
SBFZ,SBBR,L2J,TPR,Acidente,Nenhum,2018-08-06,OUTROS,Descida,"DURANTE A DESCIDA FOI REALIZADA MANOBRA EM VOO MANUAL PARA REDUÇÃO DE VELOCIDADE, GERANDO FATOR DE CARGA POSITIVA DE APROXIMADAMENTE 1,6G. A COMISSÁRIA QUE ESTAVA EM PÉ NA GALLEY DIRIGINDO-SE AO SEU ASSENTO SOFREU UMA FRATURA NO CALCANHAR E TORNOZELO. O VOO PROSSEGUIU AO DESTINO, ONDE O POUSO FOI EFETUADO SEM ANORMALIDADES.",13:50:00,null,217,6,"-4,72028",0,0,0,0,0,0,0,0,1,0,0,0,"-39,2411",PTMXA,A321-231,FORTALEZA,AIRBUS S.A.S.,PT-MXA 06AGO2018 13H50 CENIPA,8039,232,Voo Regular,TAM LINHAS AÉREAS S/A.,TAM,89000,verdadeiro,Nordeste,A321,null,OTHR,CE
SBBR,SBJP,L2J,TPR,Incidente,Leve,2017-06-05,OUTROS,Em rota,NO MOMENTO DA INSPEÇÃO DE TRÂNSITO FOI ENCONTRADO DANOS NO BORDO DE FUGA DA CARENAGEM DO MOTOR N°2 OCASIONADOS POR LIGHTNING STRIKE.,18:30:00,null,157,4,"-15,8719",0,0,0,0,0,0,0,0,0,0,0,0,"-47,9208",PRONS,A320-214,BRASÍLIA,AIRBUS S.A.S.,201706072058247/2017,7267,182,Voo Regular,OCEANAIR,OCEANAIR,73500,verdadeiro,Centro-Oeste,A320,null,OTHR,DF
SBRP,SBRP,L1P,TPP,Acidente,null,2008-11-30,CONTATO ANORMAL COM A PISTA,null,"A AERONAVE REALIZAVA VOO LOCAL SETOR E QUANDO NA PERNA DO VENTO DA PISTA 36 DECLAROU EMERGENCIA E SOLICITOU APROXIMAÇÃO PARA PISTA 18, POUSOU NORMALMENTE ÀS 17:40PM.",null,null,1,1,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTPMC,AMT-100,null,AEROMOT,/2008,5477,2,Voo Privado,FAGRO AGROPASTORIL S.C LTDA,FAGRO AGROPASTORIL S.C LTDA,800,verdadeiro,null,ZZZZ,null,ARC,Indeterminado
,,L3J,TPR,Acidente,Substancial,2006-06-16,null,Corrida após pouso,DURANTE A CORRIDA NO SOLO FOI OUVIDO UM FORTE RUIDO ACOMPANHADO DE VIBRAÇÃO. AERONAVE TEVE PNEU ESTOURADO E A PERDA DO TREM PRINCIPAL. NÃO HOUVE DANOS AOS PAX. E AERONAVE ENTREGUE PARA MANUTENÇÃO.,null,null,174,10,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PPVQG,MD-11,null,MCDONNELL DOUGLAS,/2006,5096,301,Voo Regular,VARIG S.A VIACAO AER.RIOGRANDENSE,VARIG/GOL,280320,verdadeiro,null,MD11,null,null,Indeterminado
SIAV,SDTK,H2T,TPP,Incidente,Leve,2014-03-11,COLISÃO COM AVE,Em rota,"EM VOO CRUZEIRO E COM CÉU CLARO, UMA AVE DE ESPÉCIE DESCONHECIDA RESVALOU NO ROTOR PRINCIPAL E, LOGO EM SEGUIDA, VEIO A COLIDIR COM O ESTABILIZADOR HORIZONTAL DIREITO DA AERONAVE.",18:50:00,null,0,2,"-23,4414",0,0,0,0,0,0,0,0,0,0,0,0,"-45,5678",PRBIA,A109S,UBATUBA,AGUSTA,0454/2014,5731,8,Voo Privado,BOAT AND PLANE TIME SHARING DO BRASIL LTDA,BOAT AND PLANE TIME SHARING DO BRASIL LTDA,3175,verdadeiro,Sudeste,A109,null,BIRD,SP
SBJD,SBGO,L2J,TPX,Incidente,Leve,2014-06-14,COLISÃO COM AVE,Aproximação,"A AERONAVE VEIO A COLIDIR COM UM PÁSSARO NA FINAL, JÁ PRÓXIMO DO POUSO, COM AERONAVE CONFIGURADA, FULL FLAP, GEAR DOWN E VELOCIDADE DE 130kt. HOUVE TENTATIVA DE DESVIO, SEM SUCESSO.",15:30:00,null,0,0,"-23,1817",0,0,2,0,0,0,0,0,0,0,0,0,"-46,9436",PPRAA,560XL,JUNDIAÍ,CESSNA AIRCRAFT,1030/2014,5723,11,Táxi Aéreo,TAM AVIAÇÃO EXECUTIVA E TÁXI AÉREO S/A,TAM AVIACAO EXECUTIVA E TAXI AEREO S/A,9072,verdadeiro,Sudeste,C56X,null,BIRD,SP
SBAQ,SBAQ,L1P,PRI,Acidente,Substancial,2014-02-13,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Circuto de Tráfego,"O piloto, em treinamento de toque e arremetida, ao ingressar na perna do vento para realizar o terceiro toque, observou queda de giro do motor para 2000 RPM. Houve tentativa restabelecer a rotação com o ajuste da mistura, porém sem sucesso. Ainda na perna do vento, o giro reduziu para 1800 RPM. O instrutor assumiu os comandos e o pouso da aeronave foi realizado na lateral da pista (gramado). Na na corrida após o pouso, o trem de pouso esquerdo quebrou após bater numa elevação.",17:45:00,SBAQ,0,2,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PPGKB,AB-115,ARARAQUARA,AERO BOERO,201402133863851,5035,2,Voo de Instrução,AEROCLUBE DE ARARAQUARA,AEROCLUBE DE ARARAQUARA,000770,verdadeiro,Sudeste,AB11,Público,SCF-PP,SP
,,L2J,TPX,Incidente Grave,null,2010-03-07,EXCURSÃO DE PISTA,null,"DURANTE A CORRIDA DE DECOLAGEM, PRÓXIMO À V1, HOUVE O ESTOURO DOSPNEUS DO TREM DE POUSO PRINCIPAL DIREITO. FOI EFETUADA A ABORTIVA DEDECOLAGEM. A AERONAVE SAIU DA PISTA NA PROA DA CABECEIRA.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTLJK,35A,null,LEARJET,jul/10,719,10,Táxi Aéreo,LÍDER TÁXI AÉREO S/A – AIR BRASIL,LIDER TAXI AEREO S/A – AIR BRASIL,8301,verdadeiro,Norte,LJ35,null,RE,AM
SBEG,SBTT,L2J,TPR,Incidente,Nenhum,2020-10-22,COLISÃO COM FAUNA,Decolagem,"A AERONAVE DECOLAVA DO AERÓDROMO TABATINGA (SBTT), AM, COM DESTINO AO AERÓDROMO EDUARDO GOMES (SBEG), MANAUS, AM, A FIM DE REALIZAR TRANSPORTE AÉREO PÚBLICO REGULAR, COM CINCO TRIPULANTES E SESSENTA E OITO PASSAGEIROS A BORDO. DURANTE A CORRIDA DE DECOLAGEM, FOI AVISTADO UM CACHORRO ATRAVESSANDO A PISTA. A TRIPULAÇÃO ABORTOU A CORRIDA DE DECOLAGEM AO PERCEBER O IMPACTO DO ANIMAL COM O TREM DE POUSO DE NARIZ. A AERONAVE PAROU DENTRO DOS LIMITES DA PISTA. A AERONAVE NÃO TEVE DANOS. TODOS A BORDO SAÍRAM ILESOS.",19:54,SBTT,68,5,"-4,25056",null,null,null,null,null,null,null,null,null,null,null,null,"-69,9378",PRAYX,ERJ 190-200 LR,TABATINGA,EMBRAER,202056219,25804,125,Voo Regular,AZUL LINHAS AEREAS BRASILEIRAS S.A,AZUL,50790,verdadeiro,Norte,E195,Público,WILD,AM
,,L2T,TPX,Incidente Grave,null,2010-02-23,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,null,"APÓS O POUSO EM SBCY, JÁ NOS 3/4 FINAIS DA PISTA A AERONAVE TEVE UMA GUINADA A ESQUERDA, DEVIDO A TESOURA DE FIXAÇÃO DO TREM DE POUSO / SUPORTE DA RODA PRINCIPAL LH APRESENTAR DANOS E RUPTURA, LEVANDO A AERONAVE PARA ALÉM DA MARGEM ESQUERDA DA PISTA (GRAMA), EM APROXIMADAMENTE 4,0 (QUATRO) METROS, POR CONSEQUÊNCIA O AERÓDROMO FICOU INTERDITÁDO POR 00:47 MINUTOS, ATÉ PROVIDENCIAS DE PUSH-BACK PARA O PÁTIO GERAL",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTSOG,EMB-110P1,null,EMBRAER,nov/10,691,20,Táxi Aéreo,GENSA - GENERAL SERVIÇOS AÉREOS LTDA,GENSA - GENERAL SERVICOS AEREOS LTDA,5670,verdadeiro,Centro-Oeste,E110,null,SCF-NP,MT
SNJD,SNIU,L2T,TPX,Incidente,Nenhum,2015-10-08,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Descida,"A aeronave decolou de Ipiau-BA (SNIU), às 14:45 local, com a finalidade de transportar um enfermo e sua equipe médica, para a cidade de Feira de Santana-BA. Quando se encontrava a 25 milhas, ou seja, cerca de 7 minutos para o pouso, a temperatura do óleo do motor esquerdo aumentou e, na sequência, houve a parada total do referido motor. O comandante efetuou o pouso com sucesso.",18:05:00,null,4,2,"-12,2031",0,0,0,0,0,0,0,0,0,0,0,0,"-38,9067",PTOTV,PA-31T1,FEIRA DE SANTANA,PIPER AIRCRAFT,1678/2015/2015,396,7,Táxi Aéreo,BRASIL VIDA TÁXI AÉREO LTDA - EPP,BRASIL VIDA TAXI AEREO LTDA - EPP,3946,verdadeiro,Nordeste,PAY1,null,SCF-PP,BA
SBGO,SBGO,L2P,TPP,Incidente,Leve,2015-01-23,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Corrida após pouso,"Às 18:10Z, a aeronave decolou do Aeroporto Santa Genoveva (SBGO), em Goiânia, GO, para a realização de voo local, com dois tripulantes à bordo. Após a aterrissagem, durante a corrida após pouso, o pneu do trem de pouso principal esquerdo estourou.A aeronave manteve-se no centro da pista após a parada total.",18:39:00,null,0,2,"-16,6297",0,0,0,0,0,0,0,0,0,0,0,0,"-49,2267",PTFIC,PA-34-220T,GOIÂNIA,PIPER AIRCRAFT,0149/2015,106,6,Voo Privado,AGROPASTORIL CARACOL,AGROPASTORIL CARACOL,2155,verdadeiro,Centro-Oeste,PA34,null,SCF-NP,GO
null,null,L1P,S05,Incidente Grave,Leve,2021-01-28,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Decolagem,"A aeronave decolou da Área de Pouso para uso Aeroagrícola (APUA), localizada na Fazenda Ênio Rossi, município de Frutal, MG, por volta das 13h (UTC), a fim de realizar voo de aplicação de defensivo agrícola. Após a decolagem, a hélice desacoplou da aeronave. Foi realizado pouso forçado. A aeronave teve danos leves, restritos a hélice e pequenas avarias na carenagem.O piloto saiu ileso.",13:00,Fora de Aeródromo,null,1,"-20,0964",null,null,null,null,null,null,null,null,null,null,null,null,"-49,1005",PRMCA,T188C,FRUTAL,CESSNA AIRCRAFT,202196484,26903,1,Operação Agrícola,APLIMAX AEROAGRICOLA LTDA-ME,APLIMAX AEROAGRICOLA LTDA-ME,1997,verdadeiro,Sudeste,C188,-,SCF-PP,MG
SBLO,SBLO,L1P,PRI,Ocorrência Anormal,Nenhum,2015-06-24,null,Em rota,"A aeronave decolou de Londrina, PR (SBLO) para realizar voo local de instrução do curso de piloto privado (PP) em área de treinamento local, com um instrutor e um aluno a bordo. A 1000 ft de altura (AGL), houve falha no sistema de comunicação da aeronave. No primeiro momento, instrutor e o aluno não conseguiram se comunicar, e depois, os tripulantes não conseguiram estabelecer comunicação com os órgãos de controle. O comandante da aeronave solicitou ao órgão de controle regresso para SBLO via telefone celular.A coordenação para pouso em SBLO foi realizada via sinais luminosos e o pouso ocorreu normalmente.",18:20:00,null,0,2,"-23,2872",0,0,0,0,0,0,0,0,0,0,0,0,"-51,0906",PRBLO,150L,LONDRINA,CESSNA AIRCRAFT,0970/2015,282,2,Voo de Instrução,AEROCLUBE DE LONDRINA,AEROCLUBE DE LONDRINA,726,verdadeiro,Sul,C150,null,null,PR
,,L1P,TPP,Incidente Grave,null,2010-04-09,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,null,"VINDO PARA O POUSO, TREM BAIXADO, CHECADO, LUZ VERDE, CHECK VISUAL FEITO. QUANDO A AERONAVE TOCOU O SOLO SENTI O NARIZ AFUNDAR MAIS DO QUE O USUAL. PUXEI O NARIZ, ARREMETENDO. CHEQUEI NOVAMENTE A LUZ VERDE, CHECK VISUAL FEITO NOVAMENTE, VIM PARA O SEGUNDO POUSO. TOQUEI O PRINCIPAL NO SOLO E FIQUEI SEGURANDO A BEQUILHA NO AR ATÉ MAIS OU MENOS O SEGUNDO TERÇO DA PISTA, QUANDO A AERONAVE PERDEU SUSTENTAÇÃO, BAIXOU O NARIZ E RECOLHEU O TREM DO NARIZ",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTDSO,210K,null,CESSNA AIRCRAFT,18/2010,806,6,Voo Privado,CESAR ANTONIO DE ABREU,CESAR ANTONIO DE ABREU,1724,verdadeiro,Centro-Oeste,C210,null,SCF-NP,GO
SSTL,SBRP,L2T,TPR,Incidente,Leve,2015-12-22,OUTROS,Em rota,"A AERONAVE DECOLOU DE RAO E APÓS 60 MINUTOS DE VOO, APRESENTOU OSCILAÇÃO NA PRESSÃO DO ÓLEO. O PILOTO DECIDIU RETORNAR AO AEROPORTO DE ORIGEM E FALTANDO 15 MINUTOS PARA O POUSO, O PILOTO OPTOU POR FAZER O CORTE DO MOTOR. FOI DECLARADO EMERGÊNCIA E O POUSO OCORREU SEM MAIORES CONSEQUÊNCIAS. FOI VERIFICADO QUE HOUVE VAZAMENTO DO SELO E QUE ESTE HAVIA SIDO SUBSTITUÍDO NO PERNOITE ANTES DA DECOLAGEM.",06:27:00,null,56,4,"-21,1364",0,0,0,0,0,0,0,0,0,0,0,0,"-47,7767",PRPDI,ATR-72-212A,RIBEIRÃO PRETO,AEROSPATIALE AND ALENIA,2055/2015/2015,6658,75,Voo Regular,PASSAREDO,PASSAREDO,23000,verdadeiro,Sudeste,AT72,null,OTHR,SP
SBCY,SBBR,L2J,TPN,Incidente,Leve,2016-02-11,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Pouso,"A AERONAVE DE MATRÍCULA PR-XCA, TIPO B752, VOO9071, HOTRAN 07H05MIN, DA EMPRESA AÉREA COLT CARGO, AO POUSAR ÀS 07H52MIN NO AEROPORTO DE CUIABÁ TEVE SEU PNEU DO TREM DE POUSO TRASEIRO DIREITO ESTOURADO. APÓS O POUSO, FOI FEITO UMA VISTORIA ESPECIAL DAS 07H59MIN ÀS 08H09MIN PELOS FICAIS DE PÁTIO, ONDE FORAM RETIRADOS PEQUENOS FRAGMENTOS DO PNEU ESTOURADO. A AERONAVE NÃO TEVE DANOS.",11:05:00,null,0,2,"-15,65",0,0,0,0,0,0,0,0,0,0,0,0,"-56,1175",PRXCA,757-28A,CUIABÁ,BOEING COMPANY,201602120937488/2016,6657,4,Voo não regular,COLT TRANSPORTES AEREOS S/A,COLT TRANSPORTES AEREOS S/A,113398,verdadeiro,Centro-Oeste,B752,null,SCF-NP,MT
SBNF,SBPA,L2J,TPR,Incidente,Nenhum,2015-01-15,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Em rota,"Durante o voo de cruzeiro, voo 4165, a aeronave apresentou uma pane no sistema elétrico que ocasionou perda de Auto Pilot, Radar. Foram seguidos os procedimentos previstos e tripulação decidiu alternar para o aeroporto de FLN; no pouso ocorreu mensagem de ADS #01 FAIL. Não houve declaração de emergência. Pouso e desembarque ocorreram sem outras anormalidades.",21:00:00,null,95,5,"-27,6703",0,0,0,0,0,0,0,0,0,0,0,0,"-48,5525",PRAYJ,ERJ 190-200 LR,FLORIANÓPOLIS,EMBRAER,0108/2015,6390,125,Voo Regular,AZUL,AZUL,50790,verdadeiro,Sul,E190,null,SCF-NP,SC
null,SBBH ,H2T,ADE,Acidente,Leve,2023-06-05,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Decolagem,"A aeronave decolaria do aeródromo da Pampulha (SBBH), Belo Horizonte, BH, com destino à área de pouso eventual (ZZZZ), Betim, MG, por volta de 11h15min (UTC), a fim de realizar transporte aéreo público Policial, com 03 (três) tripulantes e 02 (dois) passageiros a bordo.Durante os procedimentos de decolagem, tão logo implementada potência para retirada da aeronave do solo, a carenagem que cobre os acumuladores hidráulicos abriu-se e a ponta da mesma veio a chocar-se contra o intradorso de todas as 4 pás da aeronave.",11:15:00,SBBH,2,3,"-19,5107",null,null,null,null,null,null,null,null,null,null,null,null,"-43,5702",PRUEA,BK 117 C-2,BELO HORIZONTE ,EUROCOPTER DEUTSCHLAND,2023711915,37786,11,Operação Especializada,CORPO DE BOMBEIRO MILITAR DE MINAS GERAIS,CORPO DE BOMBEIRO MILITAR DE MINAS GERAIS,3585,verdadeiro,Sudeste,EC45,Público,SCF-NP,MG
SNZA,SNDV,L1P,PET,Incidente,Leve,2022-01-13,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Decolagem,"A aeronave decolou do aeródromo de Divinópolis (SNDV), Divinópolis, MG, com destino ao aeródromo de Pouso Alegre (SNZA), Pouso Alegre, MG, a fim de realizar um voo privado com um tripulante e um passageiro a bordo. Após a decolagem, o piloto percebeu que uma janela estava trincada e retornou para pouso. A aeronave teve danos leves restritos à janela.",10:00,SNDV,1,1,"-20,1819",null,null,null,null,null,null,null,null,null,null,null,null,"-44,87",PRZHC,RV-10,DIVINÓPOLIS,RUPERT INDUSTRIA AERONAUTICA LTDA ME,2022401940,30993,4,Voo Privado,CLODOALDO LOPES DIAS,CLODOALDO LOPES DIAS,1224,falso,Sudeste,ZZZZ,Público,SCF-NP,MG
SDAM,SDAM,L1P,TPP,Incidente,Nenhum,2021-04-24,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Corrida após pouso,"A AERONAVE DECOLOU DO AERÓDROMO ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL (SDAM), EM CAMPINAS-SP, PARA UM VOO PRIVADO LOCAL, COM UM PILOTO E DOIS PASSAGEIROS A BORDO.APÓS O POUSO CONSTATOU-SE QUE O PNEU DO TREM PRINCIPAL ESQUERDO ESTAVA MURCHO. O PILOTO E OS PASSAGEIROS SAÍRAM ILESOS. A AERONAVE NÃO TEVE DANOS.",14:00,SDAM,2,1,"-22,86",null,null,null,null,null,null,null,null,null,null,null,null,"-47,11",PRJTP,SR22,CAMPINAS,CIRRUS DESIGN,202176518,27946,4,Voo Privado,SIDNEY DOMICIANO DA SILVA,SIDNEY DOMICIANO DA SILVA,1542,verdadeiro,Sudeste,SR22,Público,SCF-NP,SP
SBVT,SBVT,H2T,TPX,Ocorrência Anormal,Nenhum,2021-03-26,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Cruzeiro,"Durante a inspeção pós voo na aeronave PR-LCQ, foi constatada pela manutenção marcas de roçamento na região do motor/MGB, entre o flexible coupling do motor LH com o cover do eixo, provenientes da soltura de uma porca no último voo da aeronave.A tripulação reportou que não houve variação nas indicações dos instrumentos.A Aeronave não sofreu danos.A Tripulação não sofreu lesões.",18:00,SBVT,null,2,"-20,2581",null,null,null,null,null,null,null,null,null,null,null,null,"-40,2864",PRLCQ,S-76C,VITÓRIA,SIKORSKY AIRCRAFT,202171691,27690,14,Táxi Aéreo,LIDER TAXI AEREO S.A - AIR BRASIL,LIDER TAXI AEREO S A AIR BRASIL,5307,verdadeiro,Sudeste,S76,Público,SCF-PP,ES
SBLE,SBLE,H1T,ADE,Incidente Grave,Leve,2021-03-25,OPERAÇÃO A BAIXA ALTITUDE,Manobra,"A aeronave decolou do Aeródromo Horácio de Mattos (SBLE), Lençóis, BA, por volta das 19h30min (UTC), afim de realizar transporte de militares que combatiam incêndio no Parque da Chapada Diamantina, Lençóis, BA, com dois pilotos, um operador aerotático e dois bombeiros militares a bordo. Durante um procedimento de desembarque a baixa altura, houve o toque do rotor de cauda em uma vegetação (arbusto). A aeronave teve danos leves. Todos os ocupantes saíram ilesos. Não houve danos a terceiros.",20:00,Fora de Aeródromo,3,2,"-12,4639",null,null,null,null,null,null,null,null,null,null,null,null,"-41,4197",PRDPM,AS 350 B2,LENÇÓIS,HELIBRAS,202147984,27663,6,Operação Pública,BAHIA SECRETARIA DA SEGURANCA PUBLICA,BAHIA SECRETARIA DA SEGURANCA PUBLICA,2250,verdadeiro,Nordeste,AS50,-,LALT,BA
null,SDUN,H2T,ADE,Incidente,Leve,2021-03-27,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,Aproximação,"A aeronave decolou do Aeródromo de Itaperuna (SDUN), Itaperuna, RJ, com destino ao Estádio Dep. Luiz Fernando Linhares (“Ferradurão”) em Miracema, RJ, às 15h08min (UTC), com um piloto e um passageiro a bordo. Durante a aproximação para o pouso o piloto ouviu um som seco, sem ter sentido qualquer impacto ou alteração nas condições de voo. Após o pouso, o piloto observou que o tubo de pitot da aeronave estava danificado, e que o WSPS (Wire Strike Protection System) apresentava sinais de que houvia sido utilizado. A aeronave teve danos leves, restritos ao tubo de pitot. Todos a bordo saíram ilesos.",15:27,Fora de Aeródromo,1,1,"-21,4092",null,null,null,null,null,null,null,null,null,null,null,null,"-42,2008",PPSES,AS 355 NP,RIO DE JANEIRO,EUROCOPTER FRANCE,202158407,27667,6,Operação Pública,CORPO DE BOMB.MIL.DO ESTADO DO RJ,CORPO DE BOMB.MIL.DO ESTADO DO RJ,2600,verdadeiro,Sudeste,AS55,-,CTOL,RJ
SDLL ,SDAI ,L1P,PET,Acidente,Substancial,2023-02-18,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Decolagem,"A aeronave decolou do aeródromo de Americana (SDAI), Americana, SP, com destino ao aeródromo Yolanda Penteado (SDLL), Leme, SP, com um piloto a bordo para realização de um voo privado. Durante o último segmento da decolagem, ocorreu a falha do motor em voo, tendo-se realizado pouso em área desabitada às margens da rodovia Luiz de Queiroz, próxima à SDAI.",14:30:00,Fora de Aeródromo,null,1,"-22,4444",null,null,null,null,null,null,null,null,null,null,null,null,"-47,1642",PUSLP,CONQUEST 180 LSA,AMERICANA ,INPAER INDÚSTRIA PAULISTA DE AERONÁUTICA,2023678688,36447,2,Voo Experimental,RUBENS EDUARDO CASTILHO,RUBENS EDUARDO CASTILHO,600,falso,Sudeste,ZZZZ,-,SCF-PP,SP
SBNV,SBNV,L1P,PRI,Incidente Grave,Leve,2018-07-08,EXCURSÃO DE PISTA,Corrida após pouso,"A aeronave decolou do Aeródromo Nacional de Aviação (SWNV), Goiânia, GO, com um piloto a bordo, a fim de realizar o primeiro voo solo de um aluno do Aeroclube de Goiás. Após o pouso, houve perda de controle no solo e uma consequente excursão de pista. A aeronave extrapolou os limites da pista pela lateral esquerda e colidiu contra um monte de terra que, em virtude de obras, encontrava-se próximo à cabeceira oposta. Não houve fogo. A aeronave teve danos leves. O piloto sofreu lesões leves.",19:04,SBNV,null,null,"-16,6278",null,null,null,null,null,null,null,null,null,null,null,1,"-49,3446",PRKDT,PA-28-161,GOIÂNIA,PIPER AIRCRAFT,***,28823,4,Voo de Instrução,AEROCLUBE DE GOIAS,AEROCLUBE DE GOIAS,1107,verdadeiro,Centro-Oeste,P28A,Público,RE,GO
SBRF,SBEG,L2J,TPR,Incidente,Nenhum,2022-01-10,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Subida,"A aeronave decolou do Aeroporto de Eduardo Gomes (SBEG), Manaus, AM, com destino ao Aeroporto dos Guararapes-Gilberto Freyre (SBRF), Recife, PE, a fim de realizar transporte aéreo público regular, com seis tripulantes e cento e setenta e um passageiros a bordo. Após a decolagem foi ouvido um barulho e a aeronave apresentou a mensagem de falha no motor #2. A aeronave retornou para o aeroporto de origem e o pouso foi realizado sem intercorrências.",13:26,SBEG,171,6,"-3,04111",null,null,null,null,null,null,null,null,null,null,null,null,"-60,0506",PRYRC,A320-251N,MANAUS,AIRBUS S.A.S.,2022987130,31106,183,Voo Regular,AZUL LINHAS AEREAS BRASILEIRAS S.A,AZUL,77000,verdadeiro,Norte,A20N,Público,SCF-PP,AM
SBUR,SDBB,L1P,TPP,Incidente,Nenhum,2022-02-09,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Decolagem,"A aeronave decolou do Aeródromo de Bebedouro (SDBB), em Bebedouro, SP, com destino ao aeródromo Mario de Almeida Franco (SBUR), em Uberaba, MG, para voo privado, com um piloto a bordo. Após pouso intermediário para reabastecimento no aeródromo Estadual Arthur Siqueira (SBBP), em Bragança Paulista, SP, durante a decolagem, houve variação de RPM do motor, ao que o piloto efetuou a abortiva. Após a desaceleração da aeronave, houve o corte involuntário do motor.",12:00,SBBP,null,1,"-22,98",null,null,null,null,null,null,null,null,null,null,null,null,"-46,54",PTCHQ,172F,BRAGANÇA PAULISTA,CESSNA AIRCRAFT,2022935691,31385,4,Voo Privado,E.A. DOS SANTOS CONSTRUÇÕES,E.A. DOS SANTOS CONSTRUÇÕES,1043,verdadeiro,Sudeste,C172,Público,SCF-PP,SP
